"area","day","SO2","CO","O3","NO2","PM10","PM2.5"
"강원","20160101",0.00412043928343364,0.792919205514365,0.0198973459596991,0.019467081469842,54.9862677557766,37.1126169322049
"강원","20160102",0.00474619685919121,0.737616175211334,0.0253102247475779,0.0179076117728723,48.9813136474433,34.4115927652204
"강원","20160103",0.00627649988949424,1.01791920551436,0.0242003762627294,0.0201898087425693,65.9723909164774,42.5062897349174
"강원","20160104",0.00516134837434273,0.76259429082238,0.0308935580809112,0.0184273087425693,71.431962776894,43.6350365996703
"강원","20160105",0.00384997710696864,0.526121232513971,0.0241623068183366,0.0160059252350661,29.8076724123581,21.8739805685685
"강원","20160106",0.00456597771525974,0.617354400329464,0.0208478334387284,0.0189802976473922,46.027405530824,28.6427559063683
"강원","20160107",0.00438540013281068,0.634942775670865,0.020537465698765,0.0193906023336235,46.4357506556819,30.1729358945666
"강원","20160108",0.00437649988949424,0.584585872181031,0.0213215883839415,0.0174611508518651,38.1409334481535,24.8850365996703
"강원","20160109",0.0041496059501003,0.56526769036285,0.0238215883839415,0.0160042026819633,37.3574798769887,25.4229153875491
"강원","20160110",0.00531627261676697,0.635343447938607,0.0269655277778809,0.0158678390455996,35.181962776894,25.0972808538963
"강원","20160111",0.00450073977006652,0.616717188711138,0.0245109187711641,0.0169838172703713,34.431962776894,24.498775498394
"강원","20160112",0.00408851686588269,0.604574092200971,0.0200751379420868,0.0205000111763721,39.1478718678031,26.297997415619
"강원","20160113",0.00378254523353394,0.504810631551555,0.0239765259892593,0.0179750720305932,38.6018522819603,25.8472603468788
"강원","20160114",0.00416484389529352,0.488846829670078,0.026935018203021,0.0162800902458045,35.9977036896781,24.5177969204032
"강원","20160115",0.00463596958646394,0.63117678127194,0.0195981035354567,0.0233337481365087,46.5778141846118,32.972178318809
"강원","20160116",0.00552006049555485,0.75276769036285,0.0205147702021234,0.0222443541971148,56.6024173223486,38.4305321591598
"강원","20160117",0.00555945443494879,0.880040417635577,0.0181890126263658,0.0228329905607511,65.0531748981061,43.7259456905794
"강원","20160118",0.00371551504100939,0.589109442337531,0.0253178005051537,0.0152667026819633,52.367604986269,31.843472468091
"강원","20160119",0.00325793165242318,0.377257596150335,0.0296547310607608,0.010172213113854,34.2963449247634,20.3132719728752
"강원","20160120",0.00377062231819765,0.553037056296865,0.0213782476853313,0.0167647921832863,40.3783674334755,27.1352211628274
"강원","20160121",0.00458795504323989,0.707637221814706,0.0165336301558486,0.0232447247053521,49.6536079091384,32.4116337792553
"강원","20160122",0.00413180037612712,0.709542103403122,0.0197116763469217,0.0220584384824925,47.8410536859849,31.8661997408182
"강원","20160123",0.00353824231373667,0.463752538847698,0.0296549217172749,0.0112572329849936,34.5443606134471,22.9079279285373
"강원","20160124",0.00441513625313061,0.526252538847698,0.0287723459596991,0.0101693541971148,38.8568425390626,25.9876169322049
"강원","20160125",0.00431229407220462,0.656511800372819,0.0208098593225926,0.0192335933095006,45.0923283618372,27.8207246883462
"강원","20160126",0.00523634837434273,0.780797993393153,0.0219840858587922,0.0224250360152966,57.0689637511838,33.2865517511855
"강원","20160127",0.0070535768636522,0.954930995690805,0.0245523153411025,0.0235575952135894,67.4648513076706,41.9077638723976
"강원","20160128",0.00677877007309682,0.966360285221304,0.0197003127105581,0.0251970748461289,63.3360272801137,39.2259661975969
"강원","20160129",0.00578738813325678,0.844401530446084,0.0246927528410252,0.0193460158959965,39.2577203526516,29.7867773283775
"강원","20160130",0.00486059079858515,0.773601023696183,0.0213935580809112,0.018781475409236,27.931962776894,25.7492881738304
"강원","20160131",0.00417157564707,0.713752538847698,0.0233329520203052,0.0183053390455996,47.7728718678031,31.0441890298136
"강원","20160201",0.00434240898040333,0.689109442337531,0.0226132550506082,0.0199901875304481,44.4168112617425,27.4418957955234
"강원","20160202",0.00463075552987277,0.704563150006494,0.0212229605430711,0.0225285059604268,46.1719099651516,27.7714822641038
"강원","20160203",0.00520187359003273,0.763286213413092,0.0206547946129322,0.0253967651921126,53.7255776061081,32.2752701428917
"강원","20160204",0.0052210900797883,0.67793857654657,0.0275447713596124,0.0206375803102347,57.4358229532198,35.1654831790956
"강원","20160205",0.00450707492827315,0.52263554624354,0.0276697713596124,0.0179110651587195,46.6251445950758,27.1804911451249
